SKU_ID,Month,Units_Sold,Revenue_USD,COGS_USD,Gross_Profit_USD
CE-0003,2023-11,959,363729.52,252974.61,110754.91
CE-0003,2023-12,851,322767.28,224485.29,98281.99
CE-0003,2024-01,519,196846.32,136907.01,59939.31
CE-0003,2024-02,498,188881.44,131367.42,57514.02
CE-0003,2024-03,746,282942.88,196787.34,86155.54
CE-0003,2024-04,754,285977.12,198897.66,87079.46
CE-0003,2024-05,722,273840.16,190456.38,83383.78
CE-0003,2024-06,724,274598.72,190983.96,83614.76
CE-0003,2024-07,698,264737.44,184125.42,80612.02
CE-0003,2024-08,807,306078.96,212878.53,93200.43
CE-0003,2024-10,702,266254.56,185180.58,81073.98
CE-0003,2024-11,875,331870.0,230816.25,101053.75
CE-0003,2024-12,900,341352.0,237411.0,103941.0
CE-0003,2025-01,547,207466.16,144293.13,63173.03
CE-0004,2023-01,902,185685.72,139746.86,45938.86
CE-0004,2023-02,879,180950.94,136183.47,44767.47
CE-0004,2023-03,1004,206683.44,155549.72,51133.72
CE-0004,2023-04,912,187744.32,141296.16,46448.16
CE-0004,2023-05,1133,233239.38,175535.69,57703.69
CE-0004,2023-06,1200,247032.0,185916.0,61116.0
CE-0004,2023-07,992,204213.12,153690.56,50522.56
CE-0004,2023-08,1050,216153.0,162676.5,53476.5
CE-0004,2023-09,1067,219652.62,165310.31,54342.31
CE-0004,2023-10,1177,242297.22,182352.61,59944.61
CE-0004,2023-11,1577,324641.22,244324.61,80316.61
CE-0004,2023-12,1261,259589.46,195366.73,64222.73
CE-0004,2024-01,916,188567.76,141915.88,46651.88
CE-0004,2024-02,827,170246.22,128127.11,42119.11
CE-0004,2024-03,953,196184.58,147648.29,48536.29
CE-0004,2024-04,1007,207301.02,156014.51,51286.51
CE-0004,2024-05,969,199478.34,150127.17,49351.17
CE-0004,2024-06,1083,222946.38,167789.19,55157.19
CE-0004,2024-07,1109,228298.74,171817.37,56481.37
CE-0004,2024-08,1254,258148.44,194282.22,63866.22
CE-0004,2024-10,1183,243532.38,183282.19,60250.19
CE-0004,2024-11,1491,306937.26,231000.63,75936.63
CE-0004,2024-12,1271,261648.06,196916.03,64732.03
CE-0004,2025-01,941,193714.26,145789.13,47925.13
CE-0005,2023-01,287,46287.36,31432.24,14855.12
CE-0005,2023-02,377,60802.56,41289.04,19513.52
CE-0005,2023-03,432,69672.96,47312.64,22360.32
CE-0005,2023-04,364,58705.92,39865.28,18840.64
CE-0005,2023-05,473,76285.44,51802.96,24482.48
CE-0005,2023-06,497,80156.16,54431.44,25724.72
CE-0005,2023-07,464,74833.92,50817.28,24016.64
CE-0005,2023-08,434,69995.52,47531.68,22463.84
CE-0005,2023-09,363,58544.64,39755.76,18788.88
CE-0005,2023-10,460,74188.8,50379.2,23809.6
CE-0005,2023-11,491,79188.48,53774.32,25414.16
CE-0005,2023-12,515,83059.2,56402.8,26656.4
CE-0005,2024-01,364,58705.92,39865.28,18840.64
CE-0005,2024-02,370,59673.6,40522.4,19151.2
CE-0005,2024-03,406,65479.68,44465.12,21014.56
CE-0005,2024-04,363,58544.64,39755.76,18788.88
CE-0005,2024-05,443,71447.04,48517.36,22929.68
CE-0005,2024-06,474,76446.72,51912.48,24534.24
CE-0005,2024-07,473,76285.44,51802.96,24482.48
CE-0005,2024-08,476,76769.28,52131.52,24637.76
CE-0005,2024-10,408,65802.24,44684.16,21118.08
CE-0005,2024-11,518,83543.04,56731.36,26811.68
CE-0005,2024-12,632,101928.96,69216.64,32712.32
CE-0005,2025-01,329,53061.12,36032.08,17029.04
CE-0006,2023-01,156,82934.28,67649.4,15284.88
CE-0006,2023-02,157,83465.91,68083.05,15382.86
CE-0006,2023-03,242,128654.46,104943.3,23711.16
CE-0006,2023-04,212,112705.56,91933.8,20771.76
CE-0006,2023-05,222,118021.86,96270.3,21751.56
CE-0006,2023-06,217,115363.71,94102.05,21261.66
CE-0006,2023-07,283,150451.29,122722.95,27728.34
CE-0006,2023-08,253,134502.39,109713.45,24788.94
CE-0006,2023-09,239,127059.57,103642.35,23417.22
CE-0006,2023-10,232,123338.16,100606.8,22731.36
CE-0006,2023-11,270,143540.1,117085.5,26454.6
CE-0006,2023-12,325,172779.75,140936.25,31843.5
CE-0006,2024-01,156,82934.28,67649.4,15284.88
CE-0006,2024-02,160,85060.8,69384.0,15676.8
CE-0006,2024-03,205,108984.15,88898.25,20085.9
CE-0006,2024-04,250,132907.5,108412.5,24495.0
CE-0006,2024-05,238,126527.94,103208.7,23319.24
CE-0006,2024-06,256,136097.28,111014.4,25082.88
CE-0006,2024-07,211,112173.93,91500.15,20673.78
CE-0006,2024-08,230,122274.9,99739.5,22535.4
CE-0006,2024-10,222,118021.86,96270.3,21751.56
CE-0006,2024-11,275,146198.25,119253.75,26944.5
CE-0006,2024-12,297,157894.11,128794.05,29100.06
CE-0006,2025-01,193,102604.59,83694.45,18910.14
CE-0007,2023-01,740,489228.8,383386.6,105842.2
CE-0007,2023-02,789,521623.68,408773.01,112850.67
CE-0007,2023-03,1128,745743.36,584405.52,161337.84
CE-0007,2023-04,1136,751032.32,588550.24,162482.08
CE-0007,2023-05,1100,727232.0,569899.0,157333.0
CE-0007,2023-06,1165,770204.8,603574.85,166629.95
CE-0007,2023-07,1016,671697.92,526379.44,145318.48
CE-0007,2023-08,1210,799955.2,626888.9,173066.3
CE-0007,2023-09,951,628725.12,492703.59,136021.53
CE-0007,2023-10,855,565257.6,442966.95,122290.65
CE-0007,2023-11,1435,948707.2,743459.15,205248.05
CE-0007,2023-12,1331,879950.72,689577.79,190372.93
CE-0007,2024-01,669,442289.28,346602.21,95687.07
CE-0007,2024-02,790,522284.8,409291.1,112993.7
CE-0007,2024-03,1091,721281.92,565236.19,156045.73
CE-0007,2024-04,1125,743760.0,582851.25,160908.75
CE-0007,2024-05,970,641286.4,502547.3,138739.1
CE-0007,2024-06,1237,817805.44,640877.33,176928.11
CE-0007,2024-07,1064,703431.68,551247.76,152183.92
CE-0007,2024-08,1017,672359.04,526897.53,145461.51
CE-0007,2024-10,1073,709381.76,555910.57,153471.19
CE-0007,2024-11,1295,856150.4,670926.55,185223.85
CE-0007,2024-12,1444,954657.28,748121.96,206535.32
CE-0007,2025-01,812,536829.44,420689.08,116140.36
CE-0008,2023-01,649,400712.07,353886.72,46825.35
CE-0008,2023-02,642,396390.06,350069.76,46320.3
CE-0008,2023-03,804,496413.72,438405.12,58008.6
CE-0008,2023-04,892,550747.56,486389.76,64357.8
CE-0008,2023-05,803,495796.29,437859.84,57936.45
CE-0008,2023-06,1084,669294.12,591083.52,78210.6
CE-0008,2023-07,961,593350.23,524014.08,69336.15
CE-0008,2023-08,952,587793.36,519106.56,68686.8
CE-0008,2023-09,996,614960.28,543098.88,71861.4
CE-0008,2023-10,862,532224.66,470031.36,62193.3
CE-0008,2023-11,1091,673616.13,594900.48,78715.65
CE-0008,2023-12,1107,683495.01,603624.96,79870.05
CE-0008,2024-01,637,393302.91,347343.36,45959.55
CE-0008,2024-02,808,498883.44,440586.24,58297.2
CE-0008,2024-03,939,579766.77,512017.92,67748.85
CE-0008,2024-04,877,541486.11,478210.56,63275.55
CE-0008,2024-05,821,506910.03,447674.88,59235.15
CE-0008,2024-06,1141,704487.63,622164.48,82323.15
CE-0008,2024-07,941,581001.63,513108.48,67893.15
CE-0008,2024-08,1101,679790.43,600353.28,79437.15
CE-0008,2024-10,1022,631013.46,557276.16,73737.3
CE-0008,2024-11,1207,745238.01,658152.96,87085.05
CE-0008,2024-12,1109,684729.87,604715.52,80014.35
CE-0008,2025-01,831,513084.33,453127.68,59956.65
CE-0009,2023-01,818,161137.82,115027.16,46110.66
CE-0009,2023-02,972,191474.28,136682.64,54791.64
CE-0009,2023-03,985,194035.15,138510.7,55524.45
CE-0009,2023-04,1260,248207.4,177181.2,71026.2
CE-0009,2023-05,1299,255890.01,182665.38,73224.63
CE-0009,2023-06,1342,264360.58,188712.04,75648.54
CE-0009,2023-07,1316,259238.84,185055.92,74182.92
CE-0009,2023-08,1186,233630.14,166775.32,66854.82
CE-0009,2023-09,1202,236781.98,169025.24,67756.74
CE-0009,2023-10,1160,228508.4,163119.2,65389.2
CE-0009,2023-11,1705,335867.95,239757.1,96110.85
CE-0009,2023-12,1651,325230.49,232163.62,93066.87
CE-0009,2024-01,978,192656.22,137526.36,55129.86
CE-0009,2024-02,782,154046.18,109964.84,44081.34
CE-0009,2024-03,966,190292.34,135838.92,54453.42
CE-0009,2024-04,1167,229887.33,164103.54,65783.79
CE-0009,2024-05,984,193838.16,138370.08,55468.08
CE-0009,2024-06,1143,225159.57,160728.66,64430.91
CE-0009,2024-07,1248,245843.52,175493.76,70349.76
CE-0009,2024-08,1253,246828.47,176196.86,70631.61
CE-0009,2024-10,1263,248798.37,177603.06,71195.31
CE-0009,2024-11,1590,313214.1,223585.8,89628.3
CE-0009,2024-12,1675,329958.25,235538.5,94419.75
CE-0009,2025-01,936,184382.64,131620.32,52762.32
CE-0010,2023-01,97,94194.76,73271.86,20922.9
CE-0010,2023-02,107,103905.56,80825.66,23079.9
CE-0010,2023-03,131,127211.48,98954.78,28256.7
CE-0010,2023-04,151,146633.08,114062.38,32570.7
CE-0010,2023-05,135,131095.8,101976.3,29119.5
CE-0010,2023-06,134,130124.72,101220.92,28903.8
CE-0010,2023-07,172,167025.76,129925.36,37100.4
CE-0010,2023-08,131,127211.48,98954.78,28256.7
CE-0010,2023-09,133,129153.64,100465.54,28688.1
CE-0010,2023-10,153,148575.24,115573.14,33002.1
CE-0010,2023-11,175,169939.0,132191.5,37747.5
CE-0010,2023-12,198,192273.84,149565.24,42708.6
CE-0010,2024-01,120,116529.6,90645.6,25884.0
CE-0010,2024-02,110,106818.8,83091.8,23727.0
CE-0010,2024-03,120,116529.6,90645.6,25884.0
CE-0010,2024-04,150,145662.0,113307.0,32355.0
CE-0010,2024-05,141,136922.28,106508.58,30413.7
CE-0010,2024-06,155,150517.4,117083.9,33433.5
CE-0010,2024-07,138,134009.04,104242.44,29766.6
CE-0010,2024-08,139,134980.12,104997.82,29982.3
CE-0010,2024-10,135,131095.8,101976.3,29119.5
CE-0010,2024-11,167,162170.36,126148.46,36021.9
CE-0010,2024-12,161,156343.88,121616.18,34727.7
CE-0010,2025-01,93,90310.44,70250.34,20060.1
CE-0011,2023-01,366,56217.6,43005.0,13212.6
CE-0011,2023-02,318,48844.8,37365.0,11479.8
CE-0011,2023-03,489,75110.4,57457.5,17652.9
CE-0011,2023-04,423,64972.8,49702.5,15270.3
CE-0011,2023-05,457,70195.2,53697.5,16497.7
CE-0011,2023-06,429,65894.4,50407.5,15486.9
CE-0011,2023-07,434,66662.4,50995.0,15667.4
CE-0011,2023-08,462,70963.2,54285.0,16678.2
CE-0011,2023-09,461,70809.6,54167.5,16642.1
CE-0011,2023-10,440,67584.0,51700.0,15884.0
CE-0011,2023-11,650,99840.0,76375.0,23465.0
CE-0011,2023-12,534,82022.4,62745.0,19277.4
CE-0011,2024-01,368,56524.8,43240.0,13284.8
CE-0011,2024-02,319,48998.4,37482.5,11515.9
CE-0011,2024-03,372,57139.2,43710.0,13429.2
CE-0011,2024-04,460,70656.0,54050.0,16606.0
CE-0011,2024-05,375,57600.0,44062.5,13537.5
CE-0011,2024-06,498,76492.8,58515.0,17977.8
CE-0011,2024-07,409,62822.4,48057.5,14764.9
CE-0011,2024-08,521,80025.6,61217.5,18808.1
CE-0011,2024-10,417,64051.2,48997.5,15053.7
CE-0011,2024-11,532,81715.2,62510.0,19205.2
CE-0011,2024-12,592,90931.2,69560.0,21371.2
CE-0011,2025-01,294,45158.4,34545.0,10613.4
CE-0012,2023-01,580,649924.8,512836.0,137088.8
CE-0012,2023-02,630,705952.8,557046.0,148906.8
CE-0012,2023-03,690,773186.4,610098.0,163088.4
CE-0012,2023-04,806,903171.36,712665.2,190506.16
CE-0012,2023-05,702,786633.12,620708.4,165924.72
CE-0012,2023-06,736,824732.16,650771.2,173960.96
CE-0012,2023-07,724,811285.44,640160.8,171124.64
CE-0012,2023-08,749,839299.44,662265.8,177033.64
CE-0012,2023-09,713,798959.28,630434.6,168524.68
CE-0012,2023-10,789,884121.84,697633.8,186488.04
CE-0012,2023-11,931,1043241.36,823190.2,220051.16
CE-0012,2023-12,1078,1207963.68,953167.6,254796.08
CE-0012,2024-01,612,685782.72,541130.4,144652.32
CE-0012,2024-02,582,652165.92,514604.4,137561.52
CE-0012,2024-03,662,741810.72,585340.4,156470.32
CE-0012,2024-04,720,806803.2,636624.0,170179.2
CE-0012,2024-05,753,843781.68,665802.6,177979.08
CE-0012,2024-06,709,794477.04,626897.8,167579.24
CE-0012,2024-07,727,814647.12,642813.4,171833.72
CE-0012,2024-08,850,952476.0,751570.0,200906.0
CE-0012,2024-10,735,823611.6,649887.0,173724.6
CE-0012,2024-11,1083,1213566.48,957588.6,255977.88
CE-0012,2024-12,1109,1242701.04,980577.8,262123.24
CE-0012,2025-01,553,619669.68,488962.6,130707.08
CE-0013,2023-01,135,107549.1,91590.75,15958.35
CE-0013,2023-02,160,127465.6,108552.0,18913.6
CE-0013,2023-03,177,141008.82,120085.65,20923.17
CE-0013,2023-04,172,137025.52,116693.4,20332.12
CE-0013,2023-05,173,137822.18,117371.85,20450.33
CE-0013,2023-06,191,152162.06,129583.95,22578.11
CE-0013,2023-07,191,152162.06,129583.95,22578.11
CE-0013,2023-08,199,158535.34,135011.55,23523.79
CE-0013,2023-09,190,151365.4,128905.5,22459.9
CE-0013,2023-10,200,159332.0,135690.0,23642.0
CE-0013,2023-11,277,220674.82,187930.65,32744.17
CE-0013,2023-12,276,219878.16,187252.2,32625.96
CE-0013,2024-01,140,111532.4,94983.0,16549.4
CE-0013,2024-02,139,110735.74,94304.55,16431.19
CE-0013,2024-03,212,168891.92,143831.4,25060.52
CE-0013,2024-04,190,151365.4,128905.5,22459.9
CE-0013,2024-05,170,135432.2,115336.5,20095.7
CE-0013,2024-06,175,139415.5,118728.75,20686.75
CE-0013,2024-07,203,161721.98,137725.35,23996.63
CE-0013,2024-08,206,164111.96,139760.7,24351.26
CE-0013,2024-10,204,162518.64,138403.8,24114.84
CE-0013,2024-11,228,181638.48,154686.6,26951.88
CE-0013,2024-12,220,175265.2,149259.0,26006.2
CE-0013,2025-01,136,108345.76,92269.2,16076.56
CE-0014,2023-01,301,234454.92,216419.0,18035.92
CE-0014,2023-02,307,239128.44,220733.0,18395.44
CE-0014,2023-03,353,274958.76,253807.0,21151.76
CE-0014,2023-04,355,276516.6,255245.0,21271.6
CE-0014,2023-05,439,341945.88,315641.0,26304.88
CE-0014,2023-06,431,335714.52,309889.0,25825.52
CE-0014,2023-07,408,317799.36,293352.0,24447.36
CE-0014,2023-08,370,288200.4,266030.0,22170.4
CE-0014,2023-09,378,294431.76,271782.0,22649.76
CE-0014,2023-10,427,332598.84,307013.0,25585.84
CE-0014,2023-11,471,366871.32,338649.0,28222.32
CE-0014,2023-12,469,365313.48,337211.0,28102.48
CE-0014,2024-01,310,241465.2,222890.0,18575.2
CE-0014,2024-02,267,207971.64,191973.0,15998.64
CE-0014,2024-03,386,300663.12,277534.0,23129.12
CE-0014,2024-04,433,337272.36,311327.0,25945.36
CE-0014,2024-05,350,272622.0,251650.0,20972.0
CE-0014,2024-06,484,376997.28,347996.0,29001.28
CE-0014,2024-07,377,293652.84,271063.0,22589.84
CE-0014,2024-08,381,296768.52,273939.0,22829.52
CE-0014,2024-10,412,320915.04,296228.0,24687.04
CE-0014,2024-11,588,458004.96,422772.0,35232.96
CE-0014,2024-12,496,386344.32,356624.0,29720.32
CE-0014,2025-01,277,215760.84,199163.0,16597.84
CE-0015,2023-01,309,73823.19,51704.97,22118.22
CE-0015,2023-02,359,85768.69,60071.47,25697.22
CE-0015,2023-03,474,113243.34,79314.42,33928.92
CE-0015,2023-04,443,105837.13,74127.19,31709.94
CE-0015,2023-05,508,121366.28,85003.64,36362.64
CE-0015,2023-06,558,133311.78,93370.14,39941.64
CE-0015,2023-07,455,108704.05,76135.15,32568.9
CE-0015,2023-08,470,112287.7,78645.1,33642.6
CE-0015,2023-09,424,101297.84,70947.92,30349.92
CE-0015,2023-10,460,109898.6,76971.8,32926.8
CE-0015,2023-11,629,150274.39,105250.57,45023.82
CE-0015,2023-12,642,153380.22,107425.86,45954.36
CE-0015,2024-01,338,80751.58,56557.54,24194.04
CE-0015,2024-02,302,72150.82,50533.66,21617.16
CE-0015,2024-03,503,120171.73,84166.99,36004.74
CE-0015,2024-04,507,121127.37,84836.31,36291.06
CE-0015,2024-05,501,119693.91,83832.33,35861.58
CE-0015,2024-06,447,106792.77,74796.51,31996.26
CE-0015,2024-07,551,131639.41,92198.83,39440.58
CE-0015,2024-08,491,117304.81,82159.03,35145.78
CE-0015,2024-10,435,103925.85,72788.55,31137.3
CE-0015,2024-11,597,142629.27,99896.01,42733.26
CE-0015,2024-12,612,146212.92,102405.96,43806.96
CE-0015,2025-01,343,81946.13,57394.19,24551.94
CE-0016,2023-01,30,26031.3,22350.6,3680.7
CE-0016,2023-02,33,28634.43,24585.66,4048.77
CE-0016,2023-03,43,37311.53,32035.86,5275.67
CE-0016,2023-04,35,30369.85,26075.7,4294.15
CE-0016,2023-05,38,32972.98,28310.76,4662.22
CE-0016,2023-06,38,32972.98,28310.76,4662.22
CE-0016,2023-07,38,32972.98,28310.76,4662.22
CE-0016,2023-08,45,39046.95,33525.9,5521.05
CE-0016,2023-09,35,30369.85,26075.7,4294.15
CE-0016,2023-10,43,37311.53,32035.86,5275.67
CE-0016,2023-11,49,42517.79,36505.98,6011.81
CE-0016,2023-12,57,49459.47,42466.14,6993.33
CE-0016,2024-01,30,26031.3,22350.6,3680.7
CE-0016,2024-02,29,25163.59,21605.58,3558.01
CE-0016,2024-03,33,28634.43,24585.66,4048.77
CE-0016,2024-04,44,38179.24,32780.88,5398.36
CE-0016,2024-05,33,28634.43,24585.66,4048.77
CE-0016,2024-06,49,42517.79,36505.98,6011.81
CE-0016,2024-07,44,38179.24,32780.88,5398.36
CE-0016,2024-08,37,32105.27,27565.74,4539.53
CE-0016,2024-10,37,32105.27,27565.74,4539.53
CE-0016,2024-11,49,42517.79,36505.98,6011.81
CE-0016,2024-12,50,43385.5,37251.0,6134.5
CE-0016,2025-01,29,25163.59,21605.58,3558.01
CE-0017,2023-01,797,23495.56,16274.74,7220.82
CE-0017,2023-02,704,20753.92,14375.68,6378.24
CE-0017,2023-03,1098,32369.04,22421.16,9947.88
CE-0017,2023-04,989,29155.72,20195.38,8960.34
CE-0017,2023-05,923,27210.04,18847.66,8362.38
CE-0017,2023-06,989,29155.72,20195.38,8960.34
CE-0017,2023-07,965,28448.2,19705.3,8742.9
CE-0017,2023-08,1106,32604.88,22584.52,10020.36
CE-0017,2023-09,1125,33165.0,22972.5,10192.5
CE-0017,2023-10,870,25647.6,17765.4,7882.2
CE-0017,2023-11,1190,35081.2,24299.8,10781.4
CE-0017,2023-12,1321,38943.08,26974.82,11968.26
CE-0017,2024-01,678,19987.44,13844.76,6142.68
CE-0017,2024-02,806,23760.88,16458.52,7302.36
CE-0017,2024-03,957,28212.36,19541.94,8670.42
CE-0017,2024-04,1069,31514.12,21828.98,9685.14
CE-0017,2024-05,927,27327.96,18929.34,8398.62
CE-0017,2024-06,1064,31366.72,21726.88,9639.84
CE-0017,2024-07,1115,32870.2,22768.3,10101.9
CE-0017,2024-08,1038,30600.24,21195.96,9404.28
CE-0017,2024-10,1037,30570.76,21175.54,9395.22
CE-0017,2024-11,1371,40417.08,27995.82,12421.26
CE-0017,2024-12,1450,42746.0,29609.0,13137.0
CE-0017,2025-01,684,20164.32,13967.28,6197.04
CE-0018,2023-01,69,88562.88,74451.0,14111.88
CE-0018,2023-02,54,69310.08,58266.0,11044.08
CE-0018,2023-03,81,103965.12,87399.0,16566.12
CE-0018,2023-04,82,105248.64,88478.0,16770.64
CE-0018,2023-05,66,84712.32,71214.0,13498.32
CE-0018,2023-06,84,107815.68,90636.0,17179.68
CE-0018,2023-07,90,115516.8,97110.0,18406.8
CE-0018,2023-08,77,98831.04,83083.0,15748.04
CE-0018,2023-09,68,87279.36,73372.0,13907.36
CE-0018,2023-10,67,85995.84,72293.0,13702.84
CE-0018,2023-11,97,124501.44,104663.0,19838.44
CE-0018,2023-12,94,120650.88,101426.0,19224.88
CE-0018,2024-01,53,68026.56,57187.0,10839.56
CE-0018,2024-02,65,83428.8,70135.0,13293.8
CE-0018,2024-03,84,107815.68,90636.0,17179.68
CE-0018,2024-04,76,97547.52,82004.0,15543.52
CE-0018,2024-05,70,89846.4,75530.0,14316.4
CE-0018,2024-06,91,116800.32,98189.0,18611.32
CE-0018,2024-07,94,120650.88,101426.0,19224.88
CE-0018,2024-08,73,93696.96,78767.0,14929.96
CE-0018,2024-10,73,93696.96,78767.0,14929.96
CE-0018,2024-11,107,137336.64,115453.0,21883.64
CE-0018,2024-12,101,129635.52,108979.0,20656.52
CE-0018,2025-01,52,66743.04,56108.0,10635.04
CE-0019,2023-01,224,64724.8,46025.28,18699.52
CE-0019,2023-02,204,58945.8,41915.88,17029.92
CE-0019,2023-03,278,80328.1,57120.66,23207.44
CE-0019,2023-04,269,77727.55,55271.43,22456.12
CE-0019,2023-05,280,80906.0,57531.6,23374.4
CE-0019,2023-06,289,83506.55,59380.83,24125.72
CE-0019,2023-07,290,83795.5,59586.3,24209.2
CE-0019,2023-08,287,82928.65,58969.89,23958.76
CE-0019,2023-09,286,82639.7,58764.42,23875.28
CE-0019,2023-10,227,65591.65,46641.69,18949.96
CE-0019,2023-11,322,93041.9,66161.34,26880.56
CE-0019,2023-12,309,89285.55,63490.23,25795.32
CE-0019,2024-01,190,54900.5,39039.3,15861.2
CE-0019,2024-02,174,50277.3,35751.78,14525.52
CE-0019,2024-03,268,77438.6,55065.96,22372.64
CE-0019,2024-04,244,70503.8,50134.68,20369.12
CE-0019,2024-05,236,68192.2,48490.92,19701.28
CE-0019,2024-06,254,73393.3,52189.38,21203.92
CE-0019,2024-07,283,81772.85,58148.01,23624.84
CE-0019,2024-08,314,90730.3,64517.58,26212.72
CE-0019,2024-10,253,73104.35,51983.91,21120.44
CE-0019,2024-11,365,105466.75,74996.55,30470.2
CE-0019,2024-12,388,112112.6,79722.36,32390.24
CE-0019,2025-01,176,50855.2,36162.72,14692.48
CE-0020,2023-01,667,358392.44,294220.37,64172.07
CE-0020,2023-02,701,376661.32,309218.11,67443.21
CE-0020,2023-03,904,485737.28,398763.44,86973.84
CE-0020,2023-04,924,496483.68,407585.64,88898.04
CE-0020,2023-05,1005,540006.6,443315.55,96691.05
CE-0020,2023-06,947,508842.04,417731.17,91110.87
CE-0020,2023-07,1011,543230.52,445962.21,97268.31
CE-0020,2023-08,1015,545379.8,447726.65,97653.15
CE-0020,2023-09,844,453498.08,372296.84,81201.24
CE-0020,2023-10,895,480901.4,394793.45,86107.95
CE-0020,2023-11,1299,697978.68,573001.89,124976.79
CE-0020,2023-12,1296,696366.72,571678.56,124688.16
CE-0020,2024-01,786,422333.52,346712.46,75621.06
CE-0020,2024-02,687,369138.84,303042.57,66096.27
CE-0020,2024-03,926,497558.32,408467.86,89090.46
CE-0020,2024-04,813,436841.16,358622.43,78218.73
CE-0020,2024-05,894,480364.08,394352.34,86011.74
CE-0020,2024-06,1127,605559.64,497130.97,108428.67
CE-0020,2024-07,1106,594275.92,487867.66,106408.26
CE-0020,2024-08,1082,581380.24,477281.02,104099.22
CE-0020,2024-10,985,529260.2,434493.35,94766.85
CE-0020,2024-11,1281,688306.92,565061.91,123245.01
CE-0020,2024-12,1292,694217.44,569914.12,124303.32
CE-0020,2025-01,845,454035.4,372737.95,81297.45
CE-0021,2023-01,293,44773.33,28886.87,15886.46
CE-0021,2023-02,373,56998.13,36774.07,20224.06
CE-0021,2023-03,477,72890.37,47027.43,25862.94
CE-0021,2023-04,400,61124.0,39436.0,21688.0
CE-0021,2023-05,483,73807.23,47618.97,26188.26
CE-0021,2023-06,427,65249.87,42097.93,23151.94
CE-0021,2023-07,436,66625.16,42985.24,23639.92
CE-0021,2023-08,484,73960.04,47717.56,26242.48
CE-0021,2023-09,374,57150.94,36872.66,20278.28
CE-0021,2023-10,492,75182.52,48506.28,26676.24
CE-0021,2023-11,633,96728.73,62407.47,34321.26
CE-0021,2023-12,548,83739.88,54027.32,29712.56
CE-0021,2024-01,310,47371.1,30562.9,16808.2
